Sample,Elapsed (s),Write Speed (MB/s)
887,455.360,159.42
888,455.887,166.88
889,456.400,155.76
890,456.909,157.38
891,457.414,150.56
892,457.914,159.71
893,458.433,154.16
894,458.941,157.58
895,459.447,150.10
896,459.957,157.02
897,460.476,154.23
898,460.977,103.72
899,461.497,92.37
900,462.020,106.98
901,462.564,110.32
902,463.070,102.70
903,463.575,102.97
904,464.100,99.21
905,464.609,94.13
906,465.133,99.29
907,465.653,115.33
908,466.168,147.56
909,466.677,141.68
910,467.214,96.77
911,467.750,104.55
912,468.261,101.60
913,468.789,98.64
914,469.312,99.29
915,469.826,132.47
916,470.336,148.98
917,470.850,139.93
918,471.367,139.45
919,471.880,155.81
920,472.402,153.23
921,472.920,162.13
922,473.439,161.89
923,473.940,151.77
924,474.445,158.57
925,474.966,115.11
926,475.488,99.58
927,475.993,103.00
928,476.522,98.18
929,477.040,92.78
930,477.557,100.45
931,478.123,92.02
932,478.661,103.96
933,479.183,107.35
934,479.691,94.50
935,480.205,101.09
936,480.740,97.17
937,481.271,97.96
938,481.772,103.91
939,482.276,111.00
940,482.791,101.01
941,483.319,105.99
942,483.844,137.18
943,484.350,150.18
944,484.853,151.20
945,485.355,151.21
946,485.861,150.40
947,486.372,140.95
948,486.885,155.82
949,487.402,147.07
950,487.905,158.86
951,488.429,145.22
952,488.932,103.25
953,489.461,98.39
954,489.968,94.57
955,490.477,102.21
956,491.024,95.06
957,491.549,114.33
958,492.063,155.73
959,492.592,158.81
960,493.115,106.99
961,493.629,101.25
962,494.139,101.94
963,494.709,98.12
964,495.228,100.20
965,495.746,100.46
966,496.271,91.47
967,496.784,101.42
968,497.318,97.33
969,497.826,125.90
970,498.336,149.21
971,498.850,132.23
972,499.358,165.16
973,499.859,159.89
974,500.379,161.42
975,500.895,147.19
976,501.410,155.35
977,501.938,151.66
978,502.452,147.92
979,502.995,103.11
980,503.497,103.58
981,504.019,99.61
982,504.533,93.39
983,505.054,99.82
984,505.558,103.20
985,506.074,147.26
986,506.602,151.36
987,507.108,142.33
988,507.614,150.39
989,508.139,136.91
990,508.660,153.75
991,509.182,99.52
992,509.711,105.87
993,510.220,110.12
994,510.757,96.82
995,511.260,111.38
996,511.766,134.25
997,512.275,149.48
998,512.804,120.79
999,513.342,96.63
1000,513.856,101.32
1001,514.362,102.70
1002,514.876,93.45
1003,515.399,99.37
1004,515.911,132.91
1005,516.412,151.69
1006,516.921,141.49
1007,517.427,165.89
1008,517.946,154.19
1009,518.457,156.40
1010,518.971,155.57
1011,519.476,150.75
1012,519.988,148.39
1013,520.490,151.26
1014,520.997,142.17
1015,521.524,151.65
1016,522.038,140.21
1017,522.540,151.29
1018,523.047,102.58
1019,523.560,93.54
1020,524.107,95.11
1021,524.607,95.98
1022,525.125,92.57
1023,525.655,98.14
1024,526.198,95.76
1025,526.707,94.34
1026,527.208,103.86
1027,527.740,105.26
1028,528.249,94.34
1029,528.763,108.93
1030,529.326,99.46
1031,529.828,143.22
1032,530.335,157.87
1033,530.837,119.45
1034,531.362,99.06
1035,531.887,91.44
1036,532.415,106.04
1037,532.941,99.00
1038,533.468,91.06
1039,533.972,103.11
1040,534.481,102.16
1041,535.026,95.43
1042,535.533,102.62
1043,536.036,166.88
1044,536.555,154.24
1045,537.059,158.84
1046,537.562,159.05
1047,538.065,151.07
1048,538.574,149.09
1049,539.098,106.93
1050,539.628,90.52
1051,540.139,101.89
1052,540.680,103.53
1053,541.189,94.18
1054,541.714,99.11
1055,542.251,104.32
1056,542.755,95.18
1057,543.294,103.93
1058,543.805,125.21
1059,544.322,139.40
1060,544.846,129.55
1061,545.363,92.96
1062,545.893,98.06
1063,546.464,91.06
1064,546.987,107.00
1065,547.508,107.63
1066,548.015,102.45
1067,548.551,104.44
1068,549.057,110.88
1069,549.572,100.97
1070,550.088,162.64
1071,550.605,154.86
1072,551.148,103.03
1073,551.652,103.21
1074,552.180,90.92
1075,552.688,102.29
1076,553.218,98.15
1077,553.727,109.97
1078,554.251,152.77
1079,554.762,140.98
1080,555.274,156.11
1081,555.774,159.97
1082,556.281,157.80
1083,556.801,153.90
1084,557.314,163.78
1085,557.816,151.49
1086,558.331,155.26
1087,558.832,151.66
1088,559.367,149.45
1089,559.869,151.51
1090,560.400,143.08
1091,560.916,155.02
1092,561.417,143.63
1093,561.928,148.91
1094,562.436,149.55
1095,562.941,110.97
