Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Drive Used Bytes,Notes
190,95.175,79.84,372991066112,39.67,2000263573504,470990987264,
191,95.676,63.90,373024620544,39.68,2000263573504,470990987264,
192,96.176,79.95,373066563584,39.68,2000263573504,470990987264,
193,96.677,79.95,373108506624,39.69,2000263573504,470990987264,
194,97.177,63.94,373142061056,39.69,2000263573504,470990987264,
195,97.678,63.93,373175615488,39.69,2000263573504,470990987264,
196,98.178,79.90,373217558528,39.70,2000263573504,470990987264,
197,98.679,63.92,373251112960,39.70,2000263573504,470990987264,
198,99.179,63.96,373284667392,39.71,2000263573504,470990987264,
199,99.680,79.93,373326610432,39.71,2000263573504,470990987264,
200,100.181,63.83,373360164864,39.71,2000263573504,470990987264,
201,100.682,63.92,373393719296,39.72,2000263573504,470990987264,
202,101.183,63.87,373427273728,39.72,2000263573504,470990987264,
203,101.683,79.91,373469216768,39.73,2000263573504,470990987264,
204,102.184,63.94,373502771200,39.73,2000263573504,470990987264,
205,102.684,63.94,373536325632,39.73,2000263573504,470990987264,
206,103.185,79.92,373578268672,39.74,2000263573504,470990987264,
207,103.686,63.87,373611823104,39.74,2000263573504,470990987264,
208,104.186,63.91,373645377536,39.74,2000263573504,470990987264,
209,104.687,79.89,373687320576,39.75,2000263573504,470990987264,
210,105.188,63.87,373720875008,39.75,2000263573504,470990987264,
211,105.689,95.86,373771206656,39.76,2000263573504,470990987264,
212,106.189,79.89,373813149696,39.76,2000263573504,470990987264,
213,106.691,95.69,373863481344,39.77,2000263573504,470990987264,
214,107.192,79.85,373905424384,39.77,2000263573504,470990987264,
215,107.693,79.86,373947367424,39.78,2000263573504,470990987264,
216,108.194,79.90,373989310464,39.78,2000263573504,470990987264,
217,108.695,79.79,374031253504,39.79,2000263573504,470990987264,
218,109.196,79.88,374073196544,39.79,2000263573504,470990987264,
219,109.696,79.90,374115139584,39.79,2000263573504,470990987264,
220,110.197,79.88,374157082624,39.80,2000263573504,470990987264,
221,110.698,95.82,374207414272,39.80,2000263573504,470990987264,
